"            Station
Date",Songshan Airport ,Zhongshan Junior High School,Nanjing Fuxing,Zhongxiao Fuxing,Daan,Technology Building,Liuzhangli,Linguang,Xinhai,Wanfang Hospital,Wanfang Community,Muzha,Taipei Zoo,Dazhi ,Jiannan Rd. ,Xihu,Gangqian ,Wende ,Neihu ,Dahu Park ,Huzhou ,Donghu ,Nangang Software Park,Taipei Nangang Exhibition Center,Xiaobitan,Xindian ,Xindian District Office,Qizhang,"Dapinglin
(Songshan-Xindian Line)",Jingmei ,Wanlong ,Gongguan ,Taipower Building ,Guting ,Chiang Kai-Shek Memorial Hall,Xiaonanmen,Dingxi ,Yongan Market ,"Jingan
(Zhonghe-Xinlu Line)",Nanshijiao ,NTU Hospital,Taipei Main Station,Zhongshan ,Shuanglian ,Minquan W. Rd. ,Yuanshan,Jiantan ,Shilin ,Zhishan,Mingde,Shipai,Qilian,Qiyan ,Beitou,Xinbeitou,Fuxinggang,Zhongyi ,Guandu ,Zhuwei,Hongshulin,Tamsui,Dingpu,Yongning,Tucheng,Haishan,Far Eastern Hospital,Fuzhong,"Banqiao
(Bannan Line)",Xinpu,Jiangzicui,Longshan Temple,Ximen ,Shandao Temple,Zhongxiao Xinsheng,Zhongxiao Dunhua,Sun Yat-Sen Memorial Hall,Taipei City Hall,Yongchun,Houshanpi,Kunyang,Nangang ,Xiangshan,Taipei 101/World Trade Center,Xinyi Anhe,Daan Park,Beimen,Songjiang Nanjing,Taipei Arena,Nanjing Sanmin,Songshan,Fu Jen University,Xinzhuang,"Touqianzhuang
(Zhonghe-Xinlu Line)",Xianse Temple ,Sanchong ,Cailiao ,Taipei Bridge ,Daqiaotou,Zhongshan Elementary School,Xingtian Temple ,Dongmen ,Luzhou ,Sanmin Senior High School ,St. Ignatius High School,Sanhe Junior High School ,Sanchong Elementary School ,Huilong ,Danfeng,Shisizhang,Xiulang Bridge,Jingping,Zhonghe,Qiaohe,Zhongyuan,Banxin,"Banqiao
(Circular Line)",Xingpu Minsheng,Xingfu,New Taipei Industrial Park
2025/3/1,"3,534 ","8,509 ","25,843 ","43,410 ","16,716 ","10,043 ","7,560 ","3,832 ","2,594 ","7,777 ","1,914 ","3,895 ","15,633 ","5,726 ","10,130 ","4,746 ","6,602 ","3,906 ","9,777 ","3,963 ","5,731 ","6,671 ","2,693 ","17,037 ","3,590 ","11,844 ","9,744 ","12,243 ","13,967 ","13,425 ","8,457 ","24,779 ","12,721 ","23,200 ","28,028 ","5,152 ","29,024 ","20,325 ","16,119 ","18,577 ","12,765 ","160,593 ","58,609 ","19,927 ","17,615 ","30,379 ","31,269 ","31,492 ","19,912 ","9,011 ","21,013 ","5,991 ","5,773 ","17,818 ","7,133 ","3,637 ","1,938 ","9,538 ","8,809 ","14,492 ","45,214 ","6,256 ","11,111 ","7,042 ","18,047 ","14,508 ","25,295 ","38,416 ","28,480 ","22,532 ","30,196 ","81,739 ","15,033 ","36,641 ","29,409 ","38,759 ","52,919 ","14,881 ","13,762 ","8,872 ","20,251 ","11,796 ","31,553 ","14,557 ","24,068 ","16,150 ","20,386 ","12,741 ","13,931 ","21,711 ","6,974 ","8,455 ","3,698 ","2,607 ","8,498 ","7,621 ","10,726 ","11,986 ","13,607 ","18,978 ","26,383 ","10,653 ","9,551 ","10,213 ","9,849 ","10,462 ","8,385 ","7,317 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/2,"3,796 ","7,175 ","19,844 ","33,815 ","13,551 ","8,408 ","6,722 ","3,671 ","2,387 ","8,184 ","1,641 ","3,190 ","10,360 ","5,632 ","9,112 ","4,428 ","6,157 ","3,770 ","8,201 ","3,678 ","5,239 ","5,901 ","2,251 ","15,989 ","3,291 ","10,581 ","8,622 ","11,029 ","12,904 ","12,767 ","8,110 ","24,577 ","11,725 ","19,713 ","22,831 ","4,201 ","25,502 ","18,041 ","13,705 ","15,234 ","9,765 ","140,467 ","47,274 ","15,463 ","16,464 ","24,866 ","25,489 ","25,960 ","17,439 ","7,921 ","19,182 ","5,427 ","4,732 ","16,293 ","5,610 ","3,191 ","1,692 ","8,705 ","7,545 ","12,689 ","37,963 ","6,130 ","9,889 ","5,688 ","15,934 ","12,798 ","21,211 ","33,926 ","25,712 ","19,665 ","25,450 ","63,456 ","13,029 ","28,915 ","21,754 ","33,279 ","41,467 ","13,505 ","11,779 ","7,506 ","19,297 ","9,578 ","23,954 ","11,157 ","22,738 ","12,600 ","15,249 ","13,677 ","12,010 ","17,232 ","6,772 ","6,907 ","3,016 ","2,204 ","7,188 ","6,487 ","8,961 ","9,787 ","11,017 ","15,143 ","21,918 ","8,782 ","8,171 ","8,779 ","8,491 ","8,893 ","7,393 ","6,329 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/3,"5,438 ","13,817 ","46,908 ","39,844 ","26,956 ","14,794 ","11,327 ","4,286 ","3,525 ","13,456 ","2,303 ","4,970 ","6,134 ","10,105 ","11,313 ","16,520 ","18,728 ","6,191 ","10,549 ","3,435 ","9,456 ","9,356 ","6,816 ","33,558 ","3,457 ","11,122 ","13,479 ","16,449 ","20,789 ","17,508 ","10,205 ","28,586 ","15,264 ","31,806 ","28,138 ","12,563 ","35,747 ","26,149 ","22,051 ","21,042 ","26,828 ","130,955 ","43,718 ","22,691 ","25,125 ","25,605 ","28,009 ","28,337 ","23,204 ","13,969 ","33,238 ","6,819 ","8,417 ","19,961 ","4,692 ","4,088 ","3,530 ","15,318 ","10,394 ","15,931 ","31,686 ","9,815 ","14,216 ","9,302 ","24,946 ","25,920 ","26,745 ","40,421 ","39,846 ","29,604 ","27,652 ","58,735 ","25,058 ","34,036 ","31,062 ","21,802 ","59,291 ","20,901 ","16,801 ","15,631 ","25,166 ","13,819 ","30,641 ","20,000 ","13,268 ","16,438 ","41,884 ","22,588 ","26,021 ","26,900 ","14,691 ","11,845 ","5,373 ","5,704 ","9,154 ","10,998 ","10,679 ","12,899 ","17,715 ","29,643 ","26,725 ","14,631 ","13,117 ","12,943 ","13,409 ","12,918 ","12,162 ","9,956 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/4,"5,077 ","14,660 ","49,597 ","41,736 ","28,308 ","16,157 ","11,862 ","4,380 ","3,493 ","13,589 ","2,305 ","5,177 ","5,362 ","10,023 ","11,800 ","17,305 ","19,627 ","6,279 ","10,762 ","3,360 ","9,683 ","9,948 ","7,281 ","35,220 ","3,829 ","11,005 ","13,661 ","16,701 ","21,360 ","17,475 ","10,814 ","28,258 ","16,750 ","34,122 ","29,155 ","12,900 ","36,889 ","27,246 ","23,011 ","21,206 ","26,466 ","129,932 ","44,568 ","22,974 ","25,874 ","25,874 ","25,948 ","28,235 ","23,401 ","13,882 ","31,689 ","7,008 ","8,892 ","19,758 ","5,364 ","4,031 ","3,601 ","14,862 ","10,047 ","15,405 ","28,688 ","10,011 ","14,034 ","9,094 ","24,809 ","25,892 ","26,888 ","41,609 ","40,664 ","30,349 ","26,733 ","58,634 ","26,973 ","35,104 ","32,592 ","23,069 ","61,234 ","22,397 ","16,940 ","16,107 ","27,145 ","13,311 ","31,411 ","20,683 ","9,632 ","16,652 ","44,975 ","23,832 ","26,987 ","26,059 ","14,533 ","11,958 ","5,540 ","5,972 ","9,147 ","11,585 ","10,950 ","13,233 ","18,879 ","30,129 ","27,429 ","14,952 ","13,341 ","13,856 ","13,944 ","13,290 ","12,356 ","9,863 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/5,"5,394 ","15,045 ","50,969 ","43,828 ","28,955 ","16,387 ","12,468 ","4,357 ","3,627 ","13,615 ","2,306 ","5,091 ","5,078 ","10,403 ","12,352 ","17,607 ","20,435 ","6,370 ","11,021 ","3,325 ","9,816 ","9,854 ","7,592 ","35,420 ","3,630 ","10,771 ","13,839 ","17,249 ","21,582 ","17,772 ","10,697 ","29,223 ","16,943 ","34,996 ","29,160 ","12,767 ","37,274 ","27,452 ","23,045 ","21,274 ","27,553 ","132,048 ","47,824 ","23,981 ","26,203 ","26,261 ","27,560 ","28,529 ","24,094 ","13,981 ","32,562 ","6,994 ","8,872 ","20,134 ","5,097 ","4,304 ","3,612 ","15,182 ","10,436 ","15,054 ","28,161 ","9,988 ","13,769 ","9,162 ","25,274 ","26,407 ","28,020 ","41,940 ","41,549 ","30,713 ","28,643 ","63,447 ","27,983 ","37,074 ","34,476 ","23,853 ","62,361 ","22,587 ","17,492 ","16,498 ","27,564 ","13,433 ","31,745 ","21,614 ","8,772 ","17,336 ","45,709 ","24,360 ","28,005 ","27,493 ","14,538 ","12,216 ","5,582 ","6,296 ","9,447 ","11,484 ","10,941 ","13,345 ","19,237 ","30,598 ","28,022 ","14,983 ","13,612 ","13,806 ","13,940 ","13,403 ","12,334 ","9,865 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/6,"5,238 ","15,078 ","51,574 ","44,651 ","29,154 ","16,200 ","12,434 ","4,333 ","3,584 ","13,932 ","2,230 ","5,169 ","5,298 ","10,640 ","12,101 ","17,484 ","20,190 ","6,373 ","10,960 ","3,220 ","9,759 ","9,907 ","7,741 ","36,197 ","3,713 ","11,033 ","13,765 ","17,255 ","22,126 ","18,184 ","10,534 ","29,407 ","16,618 ","35,111 ","30,101 ","13,378 ","37,477 ","27,626 ","23,069 ","21,573 ","26,866 ","138,957 ","49,626 ","23,741 ","26,593 ","26,137 ","27,863 ","29,400 ","23,999 ","13,825 ","32,146 ","7,093 ","8,869 ","20,257 ","5,508 ","4,200 ","3,696 ","14,965 ","10,295 ","15,080 ","28,017 ","10,143 ","14,133 ","9,141 ","25,498 ","26,186 ","27,906 ","42,687 ","41,009 ","31,043 ","28,520 ","66,807 ","28,070 ","37,066 ","34,404 ","24,508 ","63,675 ","22,899 ","17,374 ","17,937 ","28,722 ","13,662 ","33,419 ","21,926 ","8,902 ","17,544 ","46,481 ","24,444 ","28,260 ","28,167 ","14,515 ","12,265 ","5,580 ","6,227 ","9,509 ","11,648 ","11,214 ","13,653 ","19,338 ","31,399 ","28,925 ","15,129 ","13,780 ","13,652 ","13,922 ","13,377 ","12,277 ","10,037 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/7,"5,582 ","15,396 ","53,352 ","51,527 ","30,863 ","16,234 ","12,768 ","4,546 ","3,664 ","13,843 ","2,315 ","5,146 ","6,051 ","10,357 ","13,561 ","16,792 ","19,662 ","6,560 ","11,701 ","3,325 ","9,965 ","10,619 ","7,449 ","36,535 ","3,814 ","11,759 ","14,563 ","17,866 ","22,915 ","18,779 ","11,345 ","32,907 ","18,132 ","36,122 ","33,224 ","13,339 ","39,154 ","28,391 ","23,783 ","21,990 ","27,813 ","172,893 ","59,334 ","25,967 ","28,122 ","31,283 ","30,103 ","31,313 ","25,912 ","14,407 ","34,140 ","7,398 ","9,043 ","21,750 ","6,145 ","4,451 ","3,704 ","15,083 ","10,923 ","15,802 ","31,193 ","10,630 ","15,844 ","10,088 ","26,367 ","26,397 ","30,385 ","48,094 ","42,925 ","32,340 ","31,293 ","75,225 ","29,224 ","40,239 ","39,155 ","28,097 ","70,920 ","23,973 ","18,210 ","17,500 ","32,947 ","14,589 ","37,730 ","23,583 ","10,721 ","18,854 ","48,049 ","24,681 ","28,870 ","29,735 ","14,328 ","12,970 ","5,724 ","6,198 ","9,934 ","11,576 ","11,873 ","14,739 ","20,770 ","33,279 ","31,671 ","15,722 ","14,232 ","14,560 ","14,449 ","14,029 ","12,689 ","10,391 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/8,"3,704 ","9,555 ","31,144 ","47,300 ","18,509 ","11,018 ","8,434 ","3,788 ","2,784 ","8,634 ","1,724 ","3,818 ","7,081 ","6,594 ","13,336 ","5,156 ","7,411 ","4,379 ","9,109 ","2,959 ","5,937 ","6,905 ","2,691 ","25,448 ","3,579 ","10,118 ","10,035 ","13,003 ","15,527 ","14,625 ","9,171 ","34,971 ","14,971 ","27,523 ","25,787 ","5,538 ","30,642 ","20,978 ","17,038 ","17,244 ","11,911 ","161,835 ","66,517 ","20,670 ","19,876 ","33,674 ","27,314 ","28,673 ","20,618 ","10,058 ","23,963 ","6,290 ","5,870 ","18,751 ","6,805 ","3,610 ","2,146 ","9,189 ","9,033 ","12,722 ","30,769 ","6,387 ","11,229 ","7,150 ","19,115 ","16,474 ","27,520 ","40,944 ","31,483 ","24,739 ","30,318 ","83,569 ","17,545 ","38,523 ","33,597 ","26,124 ","59,348 ","16,594 ","14,803 ","12,195 ","24,694 ","10,253 ","33,819 ","15,895 ","15,054 ","16,507 ","24,459 ","20,277 ","16,244 ","22,152 ","8,990 ","9,901 ","3,959 ","3,004 ","7,914 ","8,905 ","11,619 ","12,482 ","14,918 ","21,144 ","27,320 ","11,133 ","11,250 ","10,778 ","10,304 ","10,892 ","8,800 ","7,625 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/9,"3,777 ","7,712 ","22,827 ","36,296 ","14,717 ","8,930 ","6,721 ","3,749 ","2,540 ","8,262 ","1,677 ","3,272 ","8,818 ","6,187 ","10,957 ","4,676 ","6,236 ","3,842 ","7,872 ","3,260 ","5,355 ","5,726 ","2,333 ","14,697 ","3,381 ","10,689 ","8,842 ","11,578 ","13,392 ","13,549 ","8,369 ","26,637 ","12,444 ","22,007 ","23,925 ","4,769 ","26,077 ","18,544 ","14,546 ","15,302 ","9,227 ","145,012 ","53,226 ","14,898 ","18,106 ","32,042 ","26,498 ","25,404 ","18,087 ","7,776 ","20,814 ","5,772 ","5,192 ","17,590 ","6,239 ","3,486 ","1,675 ","9,229 ","7,867 ","12,826 ","35,809 ","6,429 ","10,016 ","6,112 ","16,530 ","13,201 ","22,495 ","35,598 ","26,943 ","20,748 ","27,396 ","69,041 ","14,540 ","31,880 ","23,759 ","22,254 ","43,747 ","14,471 ","12,817 ","9,837 ","17,955 ","9,481 ","25,471 ","11,897 ","19,283 ","14,199 ","17,461 ","17,561 ","13,049 ","18,200 ","6,855 ","8,521 ","3,185 ","2,540 ","7,399 ","6,844 ","8,876 ","10,391 ","12,021 ","17,149 ","23,786 ","9,146 ","8,402 ","9,144 ","8,717 ","9,351 ","7,507 ","6,504 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2025/3/10,"5,417 ","14,131 ","48,169 ","41,262 ","26,979 ","14,892 ","11,547 ","4,257 ","3,778 ","13,482 ","2,305 ","5,166 ","5,887 ","10,170 ","10,996 ","16,731 ","19,276 ","6,161 ","10,554 ","3,566 ","9,432 ","9,600 ","7,043 ","29,240 ","3,599 ","11,489 ","13,850 ","16,836 ","21,086 ","17,397 ","10,270 ","28,972 ","15,653 ","32,893 ","28,788 ","12,772 ","36,070 ","26,551 ","22,572 ","21,278 ","26,598 ","137,319 ","47,068 ","23,506 ","25,535 ","28,441 ","29,581 ","28,047 ","23,740 ","14,124 ","33,139 ","6,907 ","8,427 ","20,458 ","4,886 ","4,064 ","3,735 ","15,685 ","10,655 ","16,272 ","33,534 ","10,136 ","14,701 ","9,457 ","25,060 ","25,741 ","27,445 ","42,705 ","40,512 ","30,287 ","29,094 ","63,887 ","25,291 ","35,523 ","31,645 ","22,914 ","60,215 ","21,316 ","17,995 ","15,857 ","24,201 ","14,531 ","31,042 ","20,457 ","12,264 ","17,151 ","43,360 ","22,308 ","26,779 ","27,963 ","14,488 ","12,061 ","5,515 ","5,800 ","9,469 ","11,173 ","10,803 ","13,109 ","18,226 ","30,305 ","27,277 ","12,175 ","13,496 ","13,117 ","13,581 ","12,870 ","12,265 ","10,025 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
